<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.04.23	04:00:00	26.917	27.057	26.671	26.879	5547	0	47
2024.04.23	08:00:00	26.879	26.959	26.645	26.934	5109	0	47
2024.04.23	12:00:00	26.934	27.358	26.903	27.232	9132	0	47
2024.04.23	16:00:00	27.233	27.350	27.189	27.294	4239	0	47
2024.04.23	20:00:00	27.299	27.319	27.233	27.257	1232	0	47
2024.04.24	00:00:00	27.257	27.447	27.133	27.421	4474	0	47
2024.04.24	04:00:00	27.423	27.465	27.234	27.242	4668	0	47
2024.04.24	08:00:00	27.242	27.284	27.015	27.098	3850	0	47
2024.04.24	12:00:00	27.102	27.374	27.023	27.192	8160	0	47
2024.04.24	16:00:00	27.192	27.302	27.150	27.202	4256	0	47
2024.04.24	20:00:00	27.203	27.213	27.113	27.173	1445	0	47
2024.04.25	00:00:00	27.173	27.301	26.960	27.073	4175	0	47
2024.04.25	04:00:00	27.073	27.419	27.033	27.398	4071	0	47
2024.04.25	08:00:00	27.403	27.463	27.312	27.384	3393	0	47
2024.04.25	12:00:00	27.384	27.551	27.099	27.283	10353	0	47
2024.04.25	16:00:00	27.286	27.433	27.243	27.393	3991	0	47
2024.04.25	20:00:00	27.394	27.423	27.327	27.332	1164	0	47
2024.04.26	00:00:00	27.332	27.465	27.245	27.462	3947	0	47
2024.04.26	04:00:00	27.463	27.703	27.452	27.659	4314	0	47
2024.04.26	08:00:00	27.661	27.710	27.500	27.550	3647	0	47
2024.04.26	12:00:00	27.550	27.658	27.063	27.223	8821	0	47
2024.04.26	16:00:00	27.223	27.331	27.145	27.201	3488	0	47
2024.04.26	20:00:00	27.203	27.203	27.168	27.183	520	0	47
2024.04.28	20:00:00	27.122	27.212	27.115	27.187	919	0	47
2024.04.29	00:00:00	27.186	27.242	26.923	27.228	4633	0	47
2024.04.29	04:00:00	27.228	27.304	27.134	27.302	4699	0	47
2024.04.29	08:00:00	27.301	27.412	27.263	27.289	3961	0	47
2024.04.29	12:00:00	27.289	27.347	26.978	27.253	6871	0	47
2024.04.29	16:00:00	27.252	27.414	27.092	27.147	5527	0	47
2024.04.29	20:00:00	27.147	27.160	27.016	27.060	1049	0	47
2024.04.30	00:00:00	27.060	27.117	26.834	26.926	4240	0	47
2024.04.30	04:00:00	26.927	26.928	26.639	26.685	4159	0	47
