<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.08.27	1.07940	1.07991	1.07915	1.07965	1301	0	10
2023.08.28	1.07966	1.08293	1.07956	1.08252	34509	0	8
2023.08.29	1.08252	1.08915	1.07818	1.08687	44766	0	8
2023.08.30	1.08687	1.09451	1.08548	1.09291	45951	0	8
2023.08.31	1.09292	1.09391	1.08347	1.08419	45941	0	8
2023.09.01	1.08418	1.08815	1.07717	1.07737	47892	0	8
2023.09.03	1.07756	1.07761	1.07698	1.07752	850	0	10
2023.09.04	1.07753	1.08084	1.07729	1.07908	22685	0	8
2023.09.05	1.07909	1.07979	1.07059	1.07241	40897	0	8
2023.09.06	1.07242	1.07483	1.07023	1.07235	43401	0	8
2023.09.07	1.07235	1.07314	1.06857	1.06970	37690	0	8
2023.09.08	1.06972	1.07434	1.06938	1.07000	36250	0	8
2023.09.10	1.07106	1.07201	1.07065	1.07158	1597	0	10
2023.09.11	1.07159	1.07588	1.07096	1.07471	37403	0	8
2023.09.12	1.07471	1.07687	1.07051	1.07527	36094	0	8
2023.09.13	1.07528	1.07644	1.07083	1.07324	50191	0	8
2023.09.14	1.07324	1.07517	1.06314	1.06346	50295	0	8
2023.09.15	1.06346	1.06874	1.06329	1.06603	39281	0	8
2023.09.17	1.06607	1.06681	1.06606	1.06676	876	0	10
2023.09.18	1.06676	1.06983	1.06543	1.06916	30952	0	8
2023.09.19	1.06917	1.07175	1.06746	1.06810	33158	0	8
2023.09.20	1.06811	1.07363	1.06474	1.06493	46460	0	8
2023.09.21	1.06495	1.06731	1.06164	1.06599	49067	0	8
2023.09.22	1.06599	1.06713	1.06146	1.06455	39841	0	8
2023.09.24	1.06506	1.06514	1.06418	1.06479	1131	0	10
2023.09.25	1.06480	1.06549	1.05750	1.05909	36132	0	8
2023.09.26	1.05909	1.06086	1.05617	1.05687	36743	0	8
2023.09.27	1.05686	1.05735	1.04877	1.05049	43570	0	8
2023.09.28	1.05049	1.05784	1.04907	1.05618	51050	0	8
2023.09.29	1.05619	1.06166	1.05576	1.05735	50464	0	8
2023.10.01	1.05676	1.05697	1.05559	1.05630	1595	0	10
2023.10.02	1.05636	1.05915	1.04730	1.04794	45225	0	8
2023.10.03	1.04795	1.04931	1.04478	1.04682	57478	0	8
2023.10.04	1.04683	1.05318	1.04509	1.05065	54266	0	8
2023.10.05	1.05064	1.05514	1.04996	1.05459	48876	0	8
