<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.07.25	12:00:00	29119.44	29334.76	29071.17	29174.69	19068	0	1476
2023.07.25	16:00:00	29175.89	29367.34	29168.54	29194.62	17532	0	1363
2023.07.25	20:00:00	29194.21	29250.57	29175.19	29219.29	15757	0	1350
2023.07.26	00:00:00	29220.27	29391.73	29093.25	29234.07	18079	0	1310
2023.07.26	04:00:00	29232.55	29311.95	29185.91	29212.78	16301	0	1297
2023.07.26	08:00:00	29212.64	29247.76	29151.41	29169.54	15613	0	1277
2023.07.26	12:00:00	29169.61	29345.29	29158.12	29310.62	18687	0	1294
2023.07.26	16:00:00	29310.60	29482.71	29189.67	29393.54	23038	0	1225
2023.07.26	20:00:00	29395.17	29669.70	29278.93	29352.72	19444	0	1468
2023.07.27	00:00:00	29352.80	29432.73	29289.04	29388.31	15365	0	1353
2023.07.27	04:00:00	29388.62	29482.01	29353.26	29391.78	15657	0	1266
2023.07.27	08:00:00	29391.95	29547.00	29375.44	29483.69	16388	0	1249
2023.07.27	12:00:00	29484.46	29492.43	29221.12	29284.81	19415	0	1172
2023.07.27	16:00:00	29283.37	29320.51	29071.16	29158.58	20912	0	1363
2023.07.27	20:00:00	29159.78	29241.55	29117.57	29215.56	16026	0	1213
2023.07.28	00:00:00	29215.86	29291.68	29178.21	29241.72	16587	0	1229
2023.07.28	04:00:00	29241.80	29258.05	29122.27	29128.30	16304	0	1194
2023.07.28	08:00:00	29128.57	29232.43	29112.92	29202.35	15689	0	1256
2023.07.28	12:00:00	29200.64	29518.89	29193.03	29368.27	19620	0	1068
2023.07.28	16:00:00	29368.36	29393.19	29187.63	29304.44	17477	0	996
2023.07.28	20:00:00	29305.32	29356.96	29265.00	29311.04	14822	0	1041
2023.07.29	00:00:00	29311.27	29386.76	29283.25	29367.30	15224	0	849
2023.07.29	04:00:00	29367.31	29400.15	29284.88	29291.60	14649	0	745
2023.07.29	08:00:00	29292.02	29323.29	29250.17	29266.82	14944	0	1236
2023.07.29	12:00:00	29265.89	29328.81	29251.01	29279.33	15093	0	1409
2023.07.29	16:00:00	29279.49	29338.81	29268.57	29331.03	15099	0	1248
2023.07.29	20:00:00	29331.70	29370.79	29330.57	29348.04	14916	0	1055
2023.07.30	00:00:00	29345.39	29355.42	29288.49	29302.45	14998	0	1007
2023.07.30	04:00:00	29302.77	29324.60	29252.89	29278.66	14398	0	1118
2023.07.30	08:00:00	29278.66	29312.15	29224.67	29300.79	14063	0	1225
2023.07.30	12:00:00	29300.80	29442.31	29269.09	29339.27	16079	0	954
2023.07.30	16:00:00	29339.57	29391.35	29104.67	29192.22	16109	0	824
2023.07.30	20:00:00	29192.67	29283.78	29027.81	29276.82	18671	0	1084
2023.07.31	00:00:00	29277.29	29501.82	29253.26	29408.90	18283	0	781
2023.07.31	04:00:00	29406.90	29433.85	29349.21	29362.99	15684	0	783
2023.07.31	08:00:00	29361.40	29406.52	29314.55	29388.68	15319	0	809
2023.07.31	12:00:00	29388.67	29457.81	29209.24	29230.38	18586	0	880
2023.07.31	16:00:00	29232.06	29260.40	29086.77	29148.76	18765	0	1011
2023.07.31	20:00:00	29150.31	29281.81	29104.38	29213.83	17488	0	1176
2023.08.01	00:00:00	29214.37	29329.57	28754.38	28831.83	20465	0	1244
2023.08.01	04:00:00	28831.36	28971.67	28772.96	28930.19	16811	0	1214
2023.08.01	08:00:00	28930.33	28985.03	28843.23	28843.23	15465	0	1307
2023.08.01	12:00:00	28844.53	28964.47	28559.34	28940.41	21662	0	1472
2023.08.01	16:00:00	28938.77	29292.45	28838.72	29256.19	20927	0	480
2023.08.01	20:00:00	29257.32	29706.82	29147.99	29681.21	20283	0	1106
