<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.05.05	1877.39	1998.19	1875.45	1993.93	77810	0	182
2023.05.06	1994.06	2017.04	1863.20	1899.92	77987	0	231
2023.05.07	1900.03	1935.45	1871.51	1873.51	76121	0	185
2023.05.08	1873.36	1885.84	1811.32	1847.34	79083	0	169
2023.05.09	1847.38	1860.71	1830.69	1846.10	75715	0	175
2023.05.10	1846.12	1886.85	1791.57	1840.66	77643	0	158
2023.05.11	1840.64	1841.28	1771.32	1793.49	78269	0	155
2023.05.12	1793.45	1815.15	1739.17	1806.96	78908	0	157
2023.05.13	1807.08	1815.15	1785.39	1794.82	73825	0	162
2023.05.14	1794.88	1823.39	1790.23	1799.42	72610	0	144
2023.05.15	1798.90	1845.89	1783.89	1815.60	73779	0	163
2023.05.16	1815.67	1830.76	1795.82	1823.85	73177	0	131
2023.05.17	1823.83	1835.97	1783.99	1821.88	75381	0	123
2023.05.18	1821.87	1831.23	1772.07	1800.40	72914	0	130
2023.05.19	1800.47	1827.67	1796.64	1812.10	71580	0	172
2023.05.20	1812.09	1828.22	1806.55	1819.05	64378	0	155
2023.05.21	1819.00	1827.96	1797.63	1804.52	69465	0	119
2023.05.22	1804.67	1826.48	1791.68	1816.54	67875	0	121
2023.05.23	1816.58	1869.31	1814.46	1852.72	73316	0	210
2023.05.24	1852.75	1853.15	1775.33	1798.04	74254	0	132
2023.05.25	1798.05	1816.45	1759.36	1804.87	71841	0	130
2023.05.26	1805.00	1837.48	1796.42	1827.69	68237	0	145
2023.05.27	1827.68	1835.89	1812.38	1830.40	63340	0	122
2023.05.28	1830.29	1916.18	1823.45	1907.96	68006	0	152
2023.05.29	1908.03	1926.27	1872.95	1892.13	72582	0	175
2023.05.30	1892.05	1917.10	1879.63	1900.34	72303	0	181
2023.05.31	1900.34	1907.04	1847.10	1873.24	72751	0	117
2023.06.01	1873.25	1887.73	1838.67	1861.22	71504	0	115
2023.06.02	1861.24	1910.15	1846.08	1906.46	74083	0	211
2023.06.03	1906.43	1908.61	1880.43	1890.54	64250	0	156
2023.06.04	1890.39	1913.49	1883.39	1889.82	64391	0	113
2023.06.05	1889.87	1890.22	1776.99	1812.00	78694	0	116
2023.06.06	1811.97	1896.65	1798.19	1884.66	74796	0	109
2023.06.07	1884.72	1896.29	1820.62	1833.54	76852	0	136
2023.06.08	1833.56	1861.30	1829.70	1846.69	68830	0	138
2023.06.09	1846.67	1856.17	1828.21	1840.39	69029	0	100
2023.06.10	1840.41	1845.02	1716.96	1751.60	85619	0	111
2023.06.11	1751.59	1777.31	1738.51	1752.85	73363	0	125
2023.06.12	1752.78	1757.49	1719.36	1741.63	75012	0	115
2023.06.13	1741.65	1763.87	1722.74	1739.35	75036	0	114
2023.06.14	1739.38	1749.35	1629.79	1651.33	75515	0	113
2023.06.15	1651.37	1677.83	1624.32	1665.76	78126	0	105
2023.06.16	1665.69	1726.94	1649.30	1716.82	75497	0	118
2023.06.17	1716.85	1759.79	1712.52	1727.95	65871	0	115
2023.06.18	1727.95	1746.69	1712.67	1720.04	67194	0	110
2023.06.19	1720.04	1748.45	1699.95	1735.68	69003	0	107
2023.06.20	1735.73	1794.23	1713.56	1790.95	74601	0	98
2023.06.21	1791.00	1900.05	1786.53	1888.37	84027	0	127
2023.06.22	1888.53	1932.52	1866.54	1871.84	80645	0	128
2023.06.23	1871.84	1934.42	1861.93	1893.30	77826	0	107
2023.06.24	1893.29	1905.61	1865.17	1875.58	70775	0	122
2023.06.25	1875.49	1929.10	1869.05	1899.32	76781	0	146
2023.06.26	1899.36	1906.35	1836.66	1858.55	78389	0	124
2023.06.27	1858.52	1911.51	1854.50	1889.67	75535	0	127
2023.06.28	1889.66	1889.99	1816.10	1827.46	79871	0	124
2023.06.29	1827.41	1878.77	1826.96	1851.78	76361	0	125
2023.06.30	1851.93	1945.54	1825.27	1934.08	91371	0	131
2023.07.01	1934.11	1943.64	1909.08	1924.00	74955	0	125
2023.07.02	1924.01	1959.36	1886.70	1937.91	75435	0	119
2023.07.03	1937.92	1976.18	1933.65	1955.20	80085	0	128
2023.07.04	1955.20	1965.63	1930.87	1935.59	75490	0	134
2023.07.05	1935.72	1941.87	1893.86	1909.92	77553	0	139
2023.07.06	1909.84	1957.36	1846.63	1846.63	86164	0	137
2023.07.07	1846.70	1877.12	1826.94	1870.58	78328	0	129
2023.07.08	1870.64	1872.93	1843.47	1864.78	68968	0	134
2023.07.09	1864.86	1878.31	1856.72	1862.42	67247	0	109
2023.07.10	1862.41	1904.43	1847.31	1880.56	74358	0	123
2023.07.11	1880.64	1889.79	1862.88	1878.43	71689	0	130
2023.07.12	1878.42	1901.10	1865.35	1871.61	73793	0	126
2023.07.13	1871.61	2011.99	1863.38	2004.61	106893	0	123
2023.07.14	2004.67	2027.82	1899.05	1938.91	118436	0	129
2023.07.15	1938.67	1946.71	1927.12	1931.72	68165	0	125
2023.07.16	1931.71	1943.35	1915.43	1923.11	65991	0	120
2023.07.17	1923.13	1936.05	1874.26	1911.95	77451	0	133
2023.07.18	1911.96	1917.73	1876.28	1897.56	78054	0	127
2023.07.19	1897.56	1921.30	1883.10	1889.41	76112	0	132
2023.07.20	1889.32	1927.61	1879.17	1892.81	75315	0	130
2023.07.21	1892.90	1905.54	1885.88	1892.96	72429	0	122
2023.07.22	1892.98	1897.94	1855.15	1867.58	78579	0	120
2023.07.23	1867.57	1904.99	1859.90	1889.41	92359	0	121
2023.07.24	1889.46	1891.71	1835.13	1851.18	92342	0	129
2023.07.25	1851.20	1868.28	1846.44	1858.51	70360	0	132
2023.07.26	1858.55	1887.21	1849.12	1872.06	72388	0	130
2023.07.27	1872.10	1885.96	1855.29	1861.59	69979	0	146
2023.07.28	1861.58	1882.01	1856.88	1875.26	67341	0	132
2023.07.29	1875.33	1885.74	1870.26	1880.38	59054	0	128
2023.07.30	1880.51	1884.43	1849.39	1861.42	62873	0	117
2023.07.31	1861.40	1876.55	1850.59	1855.60	68332	0	122
2023.08.01	1855.60	1873.45	1813.63	1871.81	72370	0	116
2023.08.02	1871.91	1878.51	1820.63	1838.89	67331	0	108
2023.08.03	1838.73	1857.60	1825.14	1836.04	68226	0	118
2023.08.04	1836.06	1849.97	1816.09	1829.20	59028	0	107
2023.08.05	1829.21	1838.20	1826.42	1835.58	45402	0	111
2023.08.06	1835.60	1837.72	1825.15	1828.86	42451	0	118
2023.08.07	1828.90	1844.39	1802.20	1828.53	56208	0	118
2023.08.08	1828.39	1874.79	1826.43	1855.62	60339	0	110
2023.08.09	1855.64	1870.55	1844.74	1854.44	68066	0	138
2023.08.10	1854.46	1864.89	1845.18	1850.86	63842	0	132
2023.08.11	1850.86	1855.61	1837.13	1847.53	60960	0	112
2023.08.12	1847.60	1853.03	1845.50	1849.61	48324	0	110
2023.08.13	1849.57	1860.64	1833.68	1839.82	38289	0	105
2023.08.14	1839.84	1854.38	1834.24	1844.63	53323	0	92
2023.08.15	1844.65	1846.36	1813.13	1828.04	48050	0	94
2023.08.16	1828.06	1830.56	1795.89	1806.34	58899	0	109
2023.08.17	1806.41	1808.21	1534.48	1681.22	90953	0	102
2023.08.18	1681.20	1697.94	1641.88	1661.35	82611	0	113
2023.08.19	1661.51	1695.57	1653.96	1670.05	66621	0	109
2023.08.20	1670.10	1694.83	1661.73	1685.64	65627	0	100
2023.08.21	1685.48	1688.41	1650.24	1667.33	72015	0	107
2023.08.22	1667.36	1669.89	1583.09	1635.34	74133	0	102
2023.08.23	1635.39	1699.81	1629.79	1679.82	77396	0	109
2023.08.24	1679.76	1683.76	1635.74	1662.05	68126	0	89
2023.08.25	1662.08	1676.05	1636.24	1654.22	76934	0	98
2023.08.26	1654.06	1655.73	1643.85	1647.44	59098	0	93
2023.08.27	1647.44	1660.48	1646.23	1658.05	55852	0	88
2023.08.28	1658.05	1663.08	1623.96	1653.13	68669	0	93
2023.08.29	1653.15	1746.34	1640.17	1731.87	76467	0	92
2023.08.30	1731.49	1734.03	1697.81	1708.69	66053	0	100
2023.08.31	1708.64	1727.81	1630.92	1646.61	69265	0	105
2023.09.01	1646.61	1655.78	1602.28	1629.29	69438	0	103
2023.09.02	1629.28	1645.73	1627.48	1636.61	54624	0	106
2023.09.03	1636.61	1645.93	1625.77	1636.10	52362	0	107
2023.09.04	1636.02	1644.24	1616.52	1630.15	58436	0	99
2023.09.05	1629.95	1646.78	1609.11	1634.82	59294	0	96
2023.09.06	1634.65	1666.54	1609.05	1633.73	59229	0	91
2023.09.07	1633.73	1659.48	1623.57	1648.59	60768	0	99
2023.09.08	1648.32	1658.29	1615.80	1637.12	59589	0	88
2023.09.09	1637.12	1637.87	1629.57	1636.47	36339	0	80
2023.09.10	1636.33	1636.50	1597.61	1617.51	54689	0	88
2023.09.11	1617.51	1619.54	1530.39	1551.59	74864	0	100
2023.09.12	1551.60	1622.62	1549.52	1593.32	75538	0	94
2023.09.13	1593.28	1617.66	1581.71	1608.13	68923	0	94
2023.09.14	1608.18	1643.70	1606.81	1627.92	68335	0	91
2023.09.15	1627.93	1652.41	1611.58	1641.64	61762	0	92
2023.09.16	1641.53	1652.03	1631.93	1635.00	50460	0	94
2023.09.17	1635.01	1635.17	1612.35	1622.73	50806	0	95
2023.09.18	1622.91	1670.00	1605.26	1638.80	66566	0	100
2023.09.19	1638.05	1660.29	1627.72	1643.80	66447	0	99
2023.09.20	1643.82	1649.86	1605.97	1621.15	68718	0	98
2023.09.21	1621.17	1624.84	1568.66	1585.14	66507	0	101
2023.09.22	1585.15	1602.29	1577.76	1593.35	61473	0	101
2023.09.23	1593.35	1598.30	1588.24	1594.35	44121	0	92
2023.09.24	1594.36	1600.81	1571.62	1581.50	48527	0	91
2023.09.25	1581.41	1596.93	1564.23	1588.05	61412	0	93
2023.09.26	1588.05	1598.54	1580.51	1593.99	59511	0	95
2023.09.27	1594.02	1634.29	1583.35	1598.03	65759	0	94
2023.09.28	1598.15	1668.30	1597.70	1654.46	72406	0	101
2023.09.29	1654.26	1689.23	1649.43	1668.73	66047	0	93
2023.09.30	1668.69	1693.34	1667.62	1672.35	52876	0	86
2023.10.01	1672.31	1748.86	1669.86	1734.18	58200	0	84
2023.10.02	1733.95	1743.80	1637.70	1663.08	80653	0	102
2023.10.03	1663.00	1670.67	1642.09	1656.57	73663	0	106
2023.10.04	1656.56	1657.26	1624.73	1646.76	72463	0	100
2023.10.05	1646.53	1654.28	1607.96	1612.03	68324	0	103
2023.10.06	1612.17	1659.71	1611.66	1645.19	69463	0	100
2023.10.07	1645.20	1647.54	1629.60	1633.98	58755	0	111
2023.10.08	1634.03	1641.75	1616.75	1633.41	64098	0	118
2023.10.09	1633.29	1635.58	1548.29	1581.28	72615	0	116
2023.10.10	1581.31	1595.51	1551.63	1568.44	74607	0	112
2023.10.11	1568.46	1578.35	1545.67	1567.26	74519	0	108
2023.10.12	1567.26	1569.65	1520.19	1541.35	61271	0	101
2023.10.13	1541.32	1574.11	1538.22	1552.65	61509	0	100
2023.10.14	1552.64	1561.58	1545.42	1555.30	46373	0	100
2023.10.15	1555.26	1566.15	1549.34	1558.05	49959	0	106
2023.10.16	1558.01	1638.10	1554.73	1599.72	70932	0	102
2023.10.17	1599.57	1600.57	1551.12	1564.90	61648	0	90
2023.10.18	1564.90	1584.84	1556.01	1563.47	63621	0	90
2023.10.19	1563.36	1573.72	1541.98	1566.87	64650	0	88
2023.10.20	1566.99	1630.82	1561.71	1604.61	72505	0	98
2023.10.21	1604.60	1644.00	1592.84	1629.48	60215	0	100
2023.10.22	1629.40	1668.68	1621.45	1664.32	64470	0	101
2023.10.23	1664.34	1794.77	1658.20	1764.96	84454	0	107
2023.10.24	1764.93	1853.02	1756.11	1785.17	88653	0	111
2023.10.25	1785.15	1816.04	1760.82	1786.69	79895	0	108
2023.10.26	1786.67	1863.57	1760.72	1803.39	83252	0	107
2023.10.27	1803.29	1804.01	1743.94	1779.55	75709	0	104
2023.10.28	1779.50	1802.48	1771.51	1776.98	57772	0	102
2023.10.29	1776.82	1810.90	1764.00	1795.24	58351	0	105
2023.10.30	1795.32	1829.44	1777.22	1809.11	69225	0	102
2023.10.31	1809.15	1818.96	1782.17	1815.02	68585	0	105
2023.11.01	1814.87	1857.01	1782.62	1846.41	75859	0	106
2023.11.02	1846.42	1873.82	1783.93	1800.30	76481	0	103
2023.11.03	1800.48	1834.71	1776.64	1832.94	74392	0	104
2023.11.04	1832.99	1869.46	1824.73	1856.65	56811	0	97
2023.11.05	1856.66	1912.87	1847.23	1892.61	70752	0	91
2023.11.06	1892.41	1914.65	1869.87	1900.05	71263	0	102
2023.11.07	1899.99	1906.34	1851.40	1885.41	71298	0	102
2023.11.08	1885.32	1902.52	1873.45	1887.28	57316	0	102
2023.11.09	1887.26	2127.49	1881.17	2116.45	88757	0	109
2023.11.10	2117.16	2131.27	2064.26	2075.42	75722	0	119
2023.11.11	2075.43	2087.12	2029.56	2051.59	74277	0	129
2023.11.12	2051.66	2062.62	2011.47	2042.75	62419	0	131
2023.11.13	2042.83	2115.72	2028.15	2052.38	81075	0	122
2023.11.14	2052.71	2062.85	1932.68	1978.26	80593	0	94
2023.11.15	1978.41	2060.56	1966.53	2056.08	82271	0	114
2023.11.16	2055.80	2088.81	1939.09	1961.13	84904	0	111
2023.11.17	1961.02	1989.48	1903.96	1961.25	87390	0	117
2023.11.18	1961.07	1971.68	1917.81	1962.08	79989	0	150
2023.11.19	1962.23	2016.17	1942.77	2012.19	78811	0	135
