<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.05.25	1877.323	1900.177	1872.613	1898.083	83458	0	0
2021.05.26	1898.082	1912.616	1890.655	1896.060	82960	0	0
2021.05.27	1896.070	1903.580	1888.111	1897.969	81191	0	0
2021.05.28	1897.992	1905.947	1882.063	1903.706	78392	0	0
2021.05.30	1903.805	1904.750	1903.214	1903.798	2406	0	0
2021.05.31	1903.845	1910.544	1902.063	1907.978	49655	0	0
2021.06.01	1907.987	1916.446	1892.350	1898.747	79722	0	0
2021.06.02	1898.751	1909.474	1894.250	1907.752	71266	0	0
2021.06.03	1907.756	1909.463	1863.442	1870.865	89483	0	0
2021.06.04	1870.856	1896.047	1855.573	1891.138	78059	0	0
2021.06.06	1889.994	1890.631	1888.646	1889.265	2273	0	0
2021.06.07	1889.246	1900.028	1881.455	1898.633	70994	0	0
2021.06.08	1898.622	1903.673	1883.740	1893.327	75702	0	0
2021.06.09	1893.315	1898.912	1887.254	1888.618	68330	0	0
2021.06.10	1888.632	1899.808	1869.900	1898.318	87366	0	0
2021.06.11	1898.294	1902.856	1874.321	1877.401	75423	0	0
2021.06.13	1876.160	1877.608	1873.194	1873.652	3778	0	0
2021.06.14	1873.604	1873.737	1844.212	1866.768	80940	0	0
2021.06.15	1866.757	1869.046	1851.529	1857.846	77562	0	0
2021.06.16	1857.892	1863.506	1803.264	1818.733	100474	0	0
2021.06.17	1818.758	1825.188	1766.982	1776.719	136840	0	0
2021.06.18	1776.672	1797.122	1760.860	1764.562	133268	0	0
2021.06.20	1768.728	1770.029	1767.355	1769.324	5065	0	0
2021.06.21	1769.320	1787.564	1766.444	1783.500	121520	0	0
2021.06.22	1783.490	1790.051	1772.255	1777.581	99083	0	0
2021.06.23	1777.578	1794.850	1773.162	1777.320	95009	0	0
2021.06.24	1777.289	1787.958	1772.832	1775.204	89662	0	0
2021.06.25	1775.158	1790.271	1773.694	1781.361	85437	0	0
2021.06.27	1781.264	1782.753	1780.545	1781.905	2843	0	0
2021.06.28	1781.858	1785.669	1770.538	1778.108	88247	0	0
2021.06.29	1778.097	1778.940	1750.621	1761.441	105817	0	0
2021.06.30	1761.456	1774.372	1753.297	1768.131	98282	0	0
2021.07.01	1768.132	1782.757	1765.633	1775.505	97023	0	0
2021.07.02	1775.495	1794.983	1774.291	1787.446	125703	0	0
2021.07.04	1787.277	1787.581	1785.461	1786.184	5240	0	0
2021.07.05	1786.187	1794.547	1784.426	1791.224	49853	0	200
2021.07.06	1791.212	1814.961	1789.852	1795.550	88066	0	200
2021.07.07	1795.503	1809.674	1793.869	1803.285	82060	0	200
2021.07.08	1803.280	1818.312	1793.986	1803.723	91932	0	200
2021.07.09	1803.736	1812.270	1796.594	1808.222	75865	0	200
2021.07.11	1808.049	1808.455	1806.301	1806.405	5105	0	0
2021.07.12	1806.452	1810.773	1791.409	1807.082	72106	0	200
2021.07.13	1807.079	1816.915	1798.539	1805.994	78919	0	200
2021.07.14	1805.999	1829.707	1804.457	1826.375	77941	0	200
2021.07.15	1826.376	1834.039	1820.217	1829.450	73461	0	200
2021.07.16	1829.450	1831.446	1808.937	1812.007	75793	0	300
2021.07.18	1811.224	1815.844	1810.351	1815.700	6671	0	0
2021.07.19	1815.700	1817.250	1794.815	1811.304	83627	0	200
2021.07.20	1811.325	1824.880	1804.850	1809.737	79653	0	300
2021.07.21	1809.735	1813.643	1794.420	1802.540	75101	0	200
2021.07.22	1802.492	1808.426	1792.692	1807.081	72779	0	200
2021.07.23	1807.077	1810.260	1789.193	1802.126	66651	0	200
2021.07.25	1802.274	1802.712	1800.053	1800.344	4238	0	0
2021.07.26	1800.329	1811.448	1796.276	1797.550	65274	0	200
2021.07.27	1797.556	1805.172	1793.382	1799.873	69594	0	200
2021.07.28	1799.828	1810.216	1792.394	1809.307	77658	0	200
2021.07.29	1809.275	1832.548	1808.585	1830.189	68488	0	300
2021.07.30	1830.198	1831.257	1810.141	1813.934	60194	0	300
2021.08.01	1814.431	1814.955	1812.009	1813.790	5232	0	0
2021.08.02	1813.796	1819.432	1805.525	1812.447	64882	0	200
2021.08.03	1812.492	1814.924	1806.999	1811.071	54644	0	200
2021.08.04	1811.063	1831.657	1806.308	1811.616	67240	0	200
2021.08.05	1811.614	1814.766	1797.515	1803.396	60225	0	300
2021.08.06	1803.351	1803.601	1758.355	1763.819	87291	0	200
2021.08.08	1761.426	1762.323	1686.784	1719.053	69301	0	0
2021.08.09	1719.031	1752.663	1706.031	1731.457	148310	0	200
2021.08.10	1731.450	1738.240	1717.704	1726.890	91847	0	200
2021.08.11	1726.899	1754.265	1723.979	1752.326	101090	0	200
2021.08.12	1752.311	1758.105	1741.322	1753.415	86792	0	200
2021.08.13	1753.382	1779.901	1751.651	1779.509	71770	0	200
2021.08.15	1779.017	1779.976	1778.408	1778.758	5671	0	0
2021.08.16	1778.763	1789.175	1770.840	1787.457	75309	0	0
2021.08.17	1787.424	1795.519	1780.495	1786.126	72356	0	0
2021.08.18	1786.121	1793.685	1777.122	1787.381	73590	0	0
2021.08.19	1787.379	1792.366	1774.073	1778.962	81714	0	0
2021.08.20	1778.970	1788.339	1778.279	1781.235	62967	0	200
2021.08.22	1781.378	1782.284	1777.329	1778.626	4530	0	0
2021.08.23	1778.613	1806.232	1776.413	1804.758	64974	0	0
2021.08.24	1804.712	1809.502	1800.678	1801.705	56965	0	0
2021.08.25	1801.715	1802.593	1782.356	1791.520	66709	0	0
2021.08.26	1791.518	1798.112	1779.770	1793.451	66766	0	0
2021.08.27	1793.400	1819.125	1784.410	1816.778	76983	0	200
2021.08.29	1817.936	1819.111	1817.133	1818.390	4404	0	0
2021.08.30	1818.386	1823.157	1807.650	1810.386	54524	0	0
2021.08.31	1810.341	1819.047	1801.544	1814.435	65679	0	0
2021.09.01	1814.426	1819.911	1808.588	1813.020	61917	0	0
2021.09.02	1813.018	1817.008	1804.630	1809.364	52008	0	0
2021.09.03	1809.362	1833.859	1808.878	1827.573	64079	0	300
2021.09.05	1828.089	1830.149	1827.417	1827.555	4329	0	0
2021.09.06	1827.545	1828.416	1821.315	1823.518	34622	0	0
2021.09.07	1823.520	1827.179	1792.280	1795.591	67392	0	0
2021.09.08	1795.589	1802.087	1782.300	1790.691	72204	0	0
2021.09.09	1790.683	1800.893	1783.752	1794.676	72146	0	0
2021.09.10	1794.695	1803.772	1787.080	1787.614	64244	0	200
2021.09.12	1787.288	1788.683	1786.960	1787.298	3528	0	0
2021.09.13	1787.290	1798.314	1783.442	1792.955	65198	0	0
2021.09.14	1792.956	1808.590	1780.279	1803.691	70541	0	0
2021.09.15	1803.701	1806.763	1790.604	1795.002	65973	0	0
2021.09.16	1794.956	1796.083	1745.019	1753.842	102606	0	0
2021.09.17	1753.841	1767.452	1747.306	1754.536	89896	0	200
2021.09.19	1754.698	1755.162	1751.188	1754.121	8277	0	0
2021.09.20	1754.118	1766.923	1741.741	1764.948	86246	0	0
2021.09.21	1764.917	1781.613	1757.869	1774.882	78140	0	0
2021.09.22	1774.886	1787.164	1764.582	1766.952	100491	0	0
2021.09.23	1766.984	1776.510	1737.392	1746.198	100580	0	0
2021.09.24	1746.201	1757.561	1740.411	1750.494	79889	0	200
2021.09.26	1750.033	1750.774	1748.214	1749.464	4178	0	0
2021.09.27	1749.495	1760.795	1744.608	1751.211	83494	0	0
2021.09.28	1751.215	1754.411	1728.069	1735.300	107258	0	0
2021.09.29	1735.309	1745.472	1721.571	1728.828	95745	0	0
2021.09.30	1728.823	1764.080	1722.212	1753.077	99705	0	0
2021.10.01	1753.070	1764.191	1749.685	1760.453	95092	0	200
2021.10.03	1760.954	1765.195	1760.954	1763.152	7492	0	0
2021.10.04	1763.151	1770.487	1747.627	1768.073	92977	0	0
2021.10.05	1768.042	1768.320	1748.561	1759.287	84519	0	0
2021.10.06	1759.285	1765.063	1745.822	1763.946	96986	0	0
2021.10.07	1763.913	1766.891	1751.935	1755.094	79192	0	0
2021.10.08	1755.097	1781.292	1753.320	1757.212	94231	0	200
2021.10.10	1757.272	1757.764	1750.915	1753.953	8798	0	0
2021.10.11	1753.956	1760.948	1750.128	1753.295	68162	0	0
2021.10.12	1753.334	1769.300	1750.710	1760.362	87220	0	0
2021.10.13	1760.331	1795.969	1757.826	1791.652	91125	0	0
2021.10.14	1791.698	1800.406	1786.647	1795.329	61617	0	0
2021.10.15	1795.327	1796.369	1764.652	1767.427	79570	0	200
2021.10.17	1766.961	1772.013	1764.565	1770.952	6830	0	0
2021.10.18	1770.983	1772.007	1760.276	1763.948	91207	0	0
2021.10.19	1763.964	1785.062	1763.269	1768.661	85397	0	200
2021.10.20	1768.664	1788.368	1766.839	1781.408	81100	0	200
2021.10.21	1781.376	1789.366	1776.245	1784.594	85958	0	200
2021.10.22	1784.561	1813.560	1782.595	1792.853	80361	0	200
2021.10.24	1792.926	1794.371	1792.388	1794.301	2852	0	200
2021.10.25	1794.347	1809.717	1792.182	1807.792	65578	0	200
2021.10.26	1807.777	1807.848	1782.191	1793.554	77581	0	200
2021.10.27	1793.571	1799.027	1783.397	1796.583	90841	0	200
2021.10.28	1796.552	1810.380	1791.986	1799.575	108938	0	200
2021.10.29	1799.559	1799.944	1771.896	1783.296	108246	0	200
2021.10.31	1783.269	1783.269	1779.055	1780.026	3101	0	200
2021.11.01	1780.020	1795.686	1779.988	1792.047	77563	0	200
2021.11.02	1792.077	1796.349	1786.062	1787.125	77044	0	200
2021.11.03	1787.102	1787.579	1758.534	1777.242	111398	0	200
2021.11.04	1777.274	1798.894	1770.762	1791.317	87601	0	200
2021.11.05	1791.322	1818.269	1784.842	1818.127	101568	0	200
2021.11.07	1815.750	1818.072	1815.470	1815.820	2370	0	200
2021.11.08	1815.830	1826.395	1812.403	1824.501	81628	0	200
2021.11.09	1824.498	1832.624	1819.119	1829.861	88035	0	200
2021.11.10	1829.858	1868.193	1822.076	1848.511	113364	0	200
2021.11.11	1848.493	1865.739	1842.860	1862.286	82010	0	200
2021.11.12	1862.285	1868.574	1845.229	1864.361	86415	0	200
2021.11.14	1866.804	1867.783	1865.240	1865.476	2251	0	200
