<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.09.30	150.292	150.942	149.800	150.123	37913	0	20
2021.10.01	150.121	150.733	149.224	150.428	42746	0	20
2021.10.03	150.315	150.627	150.166	150.547	1552	0	0
2021.10.04	150.549	151.516	150.209	150.987	39150	0	20
2021.10.05	150.984	152.041	150.725	151.907	33909	0	20
2021.10.06	151.910	152.144	150.809	151.421	42678	0	20
2021.10.07	151.418	152.081	151.025	152.068	29723	0	20
2021.10.08	152.065	152.930	151.999	152.815	32560	0	20
2021.10.10	152.694	152.928	152.686	152.864	1876	0	0
2021.10.11	152.860	154.502	152.852	154.101	30561	0	20
2021.10.12	154.098	154.819	153.678	154.143	36255	0	20
2021.10.13	154.141	154.947	154.105	154.868	33984	0	20
2021.10.14	154.864	155.734	154.825	155.582	26685	0	20
2021.10.15	155.585	157.409	155.569	157.045	30096	0	20
2021.10.17	157.002	157.354	156.990	157.323	2848	0	0
2021.10.18	157.324	157.325	156.602	156.974	31834	0	20
2021.10.19	156.975	158.052	156.873	157.978	28749	0	20
2021.10.20	157.979	158.211	157.010	158.099	29645	0	20
2021.10.21	158.097	158.162	156.773	157.005	33495	0	20
2021.10.22	157.002	157.655	155.922	156.146	36329	0	20
2021.10.24	156.083	156.434	155.990	156.421	1287	0	20
2021.10.25	156.424	156.805	156.153	156.575	31301	0	20
2021.10.26	156.577	157.764	156.506	157.174	30148	0	20
2021.10.27	157.175	157.260	155.696	156.225	38473	0	20
2021.10.28	156.226	156.769	155.911	156.768	39705	0	20
2021.10.29	156.770	157.093	155.779	156.103	37898	0	20
2021.10.31	156.046	156.321	156.007	156.299	1556	0	20
2021.11.01	156.301	156.488	155.602	155.780	32357	0	20
2021.11.02	155.776	155.832	154.656	155.172	32785	0	20
2021.11.03	155.171	156.240	154.958	156.201	31864	0	20
2021.11.04	156.199	156.213	153.115	153.759	39392	0	20
2021.11.05	153.755	153.755	152.804	153.008	37956	0	20
